line_num,color_patch,cie_lstar,cie_astar,cie_bstar,rank,inhull,numhulls,dist0,dist1,dist2
445,PANTONE 229 C,30.54,36.31,-6.71,0.0,False,0,0.310959519534,8.93391926488,9.2637216806
393,PANTONE 206 C,44.32,75.55,32.53,0.0,False,0,3.08853372976,25.0404466062,29.4094192714
394,PANTONE 207 C,34.76,59.62,23.38,0.0,False,0,1.82724847757,16.2847202793,17.459791608
396,PANTONE 209 C,27.8,34.53,3.56,0.0,False,0,1.79704422302,2.4441121416,4.77332525724
397,PANTONE 210 C,75.32,41.78,-7.55,0.0,False,0,0.446017105663,5.64350775295,18.5358246589
399,PANTONE 212 C,59.99,68.08,-1.77,0.0,False,0,1.99642903615,5.38206339833,35.8624161363
400,PANTONE 213 C,53.48,74.73,4.64,0.0,False,0,3.68895745672,4.52752603305,42.3674697015
401,PANTONE 214 C,47.67,69.22,7.31,0.0,False,0,0.384534341273,3.03691013448,34.5299896104
404,PANTONE 2036 C,81.9,26.4,-4.41,0.0,False,0,1.52574153823,1.96519880797,12.3746738871
411,PANTONE 7422 C,87.31,13.29,-1.02,0.0,False,0,0.180620655316,2.48867958941,7.85171443234
417,PANTONE 7428 C,27.26,31.65,3.25,0.0,False,0,2.23398374148,4.26141311015,6.57563456266
419,PANTONE 7633 C,68.78,14.28,0.92,0.0,False,0,1.9890334604,2.90543181365,6.32782571666
420,PANTONE 7634 C,53.41,41.74,0.99,0.0,True,2,3.34677163882,5.08758012687,18.0968496958
428,PANTONE Rubine Red C,41.37,76.57,23.18,0.0,False,0,4.84231527618,15.9300656934,32.0361701831
430,PANTONE 221 C,30.23,56.12,6.02,0.0,False,0,4.11715335744,6.42931786764,20.3276184826
432,PANTONE 7639 C,51.65,17.66,1.39,0.0,False,0,4.60299817778,6.01252892691,7.28229555684
433,PANTONE 7640 C,40.83,40.03,4.84,0.0,True,2,2.80419433151,4.26187515701,10.0246792875
434,PANTONE 7641 C,37.14,45.11,5.16,0.0,True,2,0.509776679592,2.32320796476,12.324861054
436,PANTONE 7643 C,29.53,31.75,-2.29,0.0,False,0,3.23188945063,6.77814416563,7.93091886882
437,PANTONE 7644 C,29.3,25.11,-3.95,0.0,False,0,8.09266000672,8.71745150466,8.75572624805
438,PANTONE 7645 C,25.88,22.4,-2.75,0.0,False,0,6.87260376901,8.5787876493,12.7623028927
442,PANTONE 226 C,45.72,80.36,-0.6,0.0,False,0,0.796428966904,15.2215852119,41.0349795242
518,PANTONE 501 C,75.28,19.5,2.09,0.0,True,2,0.60428671684,3.27557066849,10.2594749647
913,PANTONE 2757 C,14.35,12.28,-45.39,0.0,False,0,0.0562623254208,10.4698363647,34.4137749949
527,PANTONE 4995 C,47.56,24.49,4.48,0.0,False,0,0.963893454893,2.23366107657,4.53758369226
529,PANTONE 4975 C,18.41,15.39,6.89,0.0,False,0,0.478218269856,10.0105248365,18.2222199526
579,PANTONE 517 C,84.63,15.96,-9.14,0.0,False,0,0.482726966819,2.95810392128,6.66018316446
580,PANTONE 516 C,82.79,18.82,-11.34,0.0,False,0,0.978299631939,2.8358750839,7.79224413748
581,PANTONE 515 C,78.1,24.71,-15.37,0.0,False,0,1.85696077778,2.57020555665,9.51124375162
582,PANTONE 514 C,69.17,35.09,-20.31,0.0,False,0,2.5767334106,3.50945072862,14.7019894962
585,PANTONE 511 C,30.99,31.07,-13.38,0.0,False,0,0.939361936799,8.37167920819,16.4356356976
586,PANTONE 2351 C,60.55,33.78,-19.38,0.0,False,0,1.02897934196,4.06911552761,15.6516940763
587,PANTONE 2352 C,55.92,38.29,-21.13,0.0,False,0,1.53772901198,4.19321531164,17.9787818257
590,PANTONE 2355 C,34.32,56.05,-29.6,0.0,False,0,3.0610853166,7.18965937641,33.1506133125
591,PANTONE 2356 C,27.64,51.6,-23.65,0.0,False,0,5.11437200902,6.050686411,28.4912584092
575,PANTONE 2067 C,58.27,46.71,-31.5,0.0,False,0,0.377495212051,8.36487723114,27.1041547738
592,PANTONE 2357 C,24.61,38.22,-9.24,0.0,False,0,2.84739041371,7.98081274974,13.0900993121
595,PANTONE 7655 C,46.41,38.73,-19.92,0.0,False,0,0.17068724083,4.88314156157,18.7185728706
596,PANTONE 7656 C,38.53,44.5,-21.85,0.0,False,0,0.523132711739,5.059299706,22.4154591311
599,PANTONE 7659 C,27.63,23.02,-11.39,0.0,False,0,0.478398508537,13.1968385063,15.6478335083
600,PANTONE 5175 C,82.02,7.81,-5.8,0.0,False,0,1.44015898327,2.3229796312,2.96248757022
601,PANTONE 5165 C,78.85,8.78,-6.23,0.0,False,0,1.02595604741,2.97079531887,3.55626596748
606,PANTONE 5115 C,24.39,23.99,-9.46,0.0,False,0,2.79326585787,12.7432192001,13.6835825543
607,PANTONE 5245 C,82.86,7.07,-1.4,0.0,False,0,0.917822011997,3.05787255175,3.3529086801
608,PANTONE 5235 C,77.9,8.4,-1.4,0.0,False,0,1.31140279736,3.92339368215,4.11169749085
609,PANTONE 5225 C,73.09,10.3,-3.83,0.0,False,0,3.00986521582,3.64445808031,3.8753274881
593,PANTONE 7653 C,57.76,7.22,-5.59,0.0,False,0,0.29526159757,4.14277736903,9.6621420602
574,PANTONE 2066 C,68.57,35.8,-24.99,0.0,False,0,0.525837699756,6.30529627551,19.3801041592
573,PANTONE 2065 C,74.83,28.15,-19.44,0.0,False,0,1.1328690866,4.2081186733,13.2865265473
572,PANTONE 2064 C,73.34,31.16,-16.7,0.0,False,0,0.675591903857,4.57315191733,10.6773908274
530,PANTONE 236 C,77.49,35.96,-14.23,0.0,False,0,0.173990640012,9.6278628946,10.7288755413
531,PANTONE 237 C,70.93,48.39,-18.54,0.0,False,0,0.135787769558,14.0542890768,14.2869589985
544,PANTONE 2365 C,81.97,26.74,-11.12,0.0,False,0,0.883933090143,6.80948587318,8.06703470122
545,PANTONE 2375 C,68.08,50.93,-23.15,0.0,False,0,0.711017763484,11.814129273,18.5086412251
546,PANTONE 2385 C,57.18,67.23,-28.52,0.0,False,0,0.0390246531571,15.6861776106,29.0746234986
551,PANTONE 243 C,82.39,24.96,-13.86,0.0,False,0,1.59017875818,5.36024570244,9.27456156007
552,PANTONE 244 C,76.31,36.58,-18.47,0.0,False,0,1.26449405184,8.08682440502,13.2352750549
553,PANTONE 245 C,68.67,48.01,-25.75,0.0,False,0,2.1533790555,8.50185181062,20.6680950606
554,PANTONE 246 C,52.87,71.02,-33.17,0.0,False,0,0.726954503859,13.7596068066,35.0434744769
555,PANTONE 247 C,49.11,68.98,-32.48,0.0,False,0,1.63511924781,11.9125584222,34.5144639231
556,PANTONE 248 C,43.34,61.84,-28.53,0.0,False,0,2.126152031,8.48164052348,30.871997317
557,PANTONE 249 C,37.61,44.17,-19.64,0.0,False,0,1.62273453976,3.75057060847,20.5005993692
562,PANTONE 7650 C,29.19,41.99,-13.27,0.0,False,0,2.37036110002,4.58567131994,16.3293980461
563,PANTONE 7651 C,27.92,36.46,-14.64,0.0,False,0,1.6261793086,6.9934552294,17.5300874239
564,PANTONE 7652 C,26.05,31.87,-14.6,0.0,False,0,0.497411206329,10.1441934327,18.5291536493
565,PANTONE 250 C,82.19,23.44,-13.32,0.0,False,0,1.17237809867,4.51329667984,8.77836272461
566,PANTONE 251 C,74.07,36.83,-22.2,0.0,False,0,3.22624712008,5.25133967495,16.4958728337
567,PANTONE 252 C,59.59,57.36,-35.17,0.0,False,0,5.69327799675,6.77621575555,32.1549578557
568,PANTONE Purple C,49.17,70.73,-41.08,0.0,False,0,7.01658076509,8.59627189681,43.0716281933
569,PANTONE 253 C,45.88,66.12,-41.8,0.0,False,0,2.60283651085,11.7492773589,43.5405687371
570,PANTONE 254 C,39.01,60.48,-37.16,0.0,False,0,1.03844098698,11.2315984009,39.8927442065
528,PANTONE 4985 C,40.42,24.9,5.67,0.0,False,0,0.230739525558,3.67992871836,7.57653433509
391,PANTONE 204 C,66.13,47.75,-2.76,0.0,True,2,0.877724021574,1.7820319564,23.4158381325
917,PANTONE 279 C,59.0,-5.04,-47.83,0.0,False,0,0.887191710346,22.4254695386,32.0713579439
919,PANTONE 280 C,12.25,13.16,-43.79,0.0,False,0,1.48143246917,10.8012565652,33.7224756005
1424,PANTONE 2293 C,70.29,-41.78,82.02,0.0,False,0,4.21209472677,30.9978226097,51.7112757561
1426,PANTONE 2295 C,90.32,-14.88,45.81,0.0,False,0,2.91430187014,3.33463834597,20.661033117
1427,PANTONE 2296 C,87.74,-21.29,61.75,0.0,False,0,2.30439731887,6.17167651453,28.629960369
1428,PANTONE 2297 C,83.77,-28.71,80.28,0.0,False,0,2.2875754016,12.9449425212,37.8751287702
1446,PANTONE 5747 C,28.91,-7.06,21.94,0.0,False,0,2.18848068803,6.46065045783,12.5502824443
1447,PANTONE 5875 C,81.43,-2.91,21.83,0.0,False,0,0.347494859701,6.13661791275,6.95901128957
1453,PANTONE 5815 C,33.74,-1.45,29.13,0.0,False,0,0.0743329375901,4.62649625327,14.9699859421
1460,PANTONE 5743 C,31.74,-8.64,19.98,0.0,False,0,0.0262674773128,8.67390245382,10.8379782689
1466,PANTONE 7497 C,47.44,-0.7,16.84,0.0,False,0,0.184924902681,2.81351209055,6.34900904802
1422,PANTONE 2291 C,78.69,-35.9,86.87,0.0,False,0,2.86902679756,21.6028701047,45.571981821
1474,PANTONE 2308 C,33.44,-4.31,30.64,0.0,False,0,1.81246871416,3.14543581095,17.2744733881
1484,PANTONE 381 C,85.22,-19.37,82.66,0.0,False,0,4.10881685329,4.94795108369,29.2646435738
1485,PANTONE 382 C,82.31,-21.32,87.3,0.0,False,0,2.98094410102,7.33311166568,31.355545959
1489,PANTONE 386 C,90.26,-13.61,65.52,0.0,False,0,0.0567629131095,7.99436317325,22.5598944165
1490,PANTONE 387 C,89.29,-15.76,77.72,0.0,False,0,0.0951057614604,8.97013610085,26.1832488075
1491,PANTONE 388 C,88.21,-17.33,87.07,0.0,False,0,1.04522452705,9.58581605444,28.7802994825
1492,PANTONE 389 C,85.54,-18.33,97.01,0.0,False,0,2.81656087577,11.6544240527,30.4756028053
1493,PANTONE 390 C,74.13,-16.3,84.43,0.0,False,0,3.74981469775,8.45710272869,26.2526949796
1499,PANTONE 584 C,83.69,-12.91,74.9,0.0,False,0,0.120049591424,6.18737742428,21.609877191
1500,PANTONE 583 C,75.78,-14.73,79.45,0.0,False,0,2.7782289726,6.31365542091,24.0017701387
1483,PANTONE 380 C,87.41,-16.7,73.72,0.0,False,0,0.980745551871,6.00524356319,25.8723233002
1502,PANTONE 581 C,39.88,-3.08,36.69,0.0,False,0,0.683762532129,4.30394970532,20.6669059126
